"Id","Success","Created","Error"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '28/04/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '29/04/19' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '28/04/22' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
"","false","false","INVALID_FIELD:Failed to deserialize field at col 19. Due to, '15/01/24' is not a valid value for the type xsd:date:SBQQ__SubscriptionEndDate__c --"
